date,cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,0
3/10/2020,1
3/11/2020,1
3/12/2020,1
3/13/2020,1
3/14/2020,4
3/15/2020,4
3/16/2020,5
3/17/2020,10
3/18/2020,14
3/19/2020,15
3/20/2020,15
3/21/2020,25
3/22/2020,39
3/23/2020,50
3/24/2020,50
3/25/2020,60
3/26/2020,60
3/27/2020,99
3/28/2020,120
3/29/2020,142
3/30/2020,163
3/31/2020,207
4/1/2020,239
4/2/2020,286
4/3/2020,323
4/4/2020,387
4/5/2020,413
4/6/2020,478
4/7/2020,521
4/8/2020,557
4/9/2020,595
